product_id,product_name,url
93451,"GLAMIRA - Your Online Shop for Gold, Diamond and Wedding Jewellery",https://www.glamira.com.ua/mens-ring-classic-touch-8-mm.html?fbclid=IwAR12lyIqFZzCjNRHaGxaRrdfDYmPjMGqhQUBQZNJLuEjXPi8CJ7GwlpxehQ&alloy=red-585
93313,Women's Wedding Ring Classic Style,https://www.glamira.ie/womens-ring-classic-style.html?stone=diamond-Brillant&itm_source=recommendation&itm_medium=sorting&fbclid=IwAR2x9KYSSZ1PVjNniTwXCZDob1xOgvszkSRNyept53i74gz37A5aWXn3Bag&alloy=yellow-585
92804,Women's Wedding Ring Classic Fortune 5mm,https://www.glamira.ie/womens-ring-classic-fortune-5mm.html?stone=diamond-Brillant&itm_source=recommendation&itm_medium=sorting&alloy=yellow-750
97073,Nhẫn Nữ Serenity Freedom 10mm,https://www.glamira.vn/nhan-nu-serenity-freedom-10mm.html?alloy=white-750&gclid=CjwKCAjw8df2BRA3EiwAvfZWaNXJVQFaS40U5o5ZX1MWCOGT-jao1f_9shA2IZI52HsD1WHzzNcwCBoCCikQAvD_BwE
91763,"GLAMIRA - Your Online Shop for Gold, Diamond and Wedding Jewellery",https://www.glamira.com.ua/glamira-ring-perlina-10-mm.html?fbclid=IwAR0yAZKN-NvJnQ7_F3PBlZm449IJD4fAofCAmLeOoKfmArTCADcCBFVvTOo
103549,"GLAMIRA - Your Online Shop for Gold, Diamond and Wedding Jewellery",https://www.glamira.com.ua/glamira-ring-conettia.html?fbclid=IwAR31Z4S2fKRBne87ylbbM2NBsVJlCtAn_Xa5isTs5Y-4jVQnTfB6Qb71_4g
109001,Nhẫn cưới nữ Magic Truth 5 mm,https://www.glamira.vn/nhan-nu-magic-truth-5-mm.html?alloy=white-585
110107,"GLAMIRA - Your Online Shop for Gold, Diamond and Wedding Jewellery",https://www.glamira.com.ua/glamira-bracelet-edra.html?fbclid=IwAR3mE2btQuAYiL0HEXF-KGj-sUb9ggKXrDzX12GvZ03nj6_k_pGsv3hBCkY
109558,Bông tai nữ Kiersten,https://www.glamira.vn/glamira-earring-kiersten.html?alloy=white-585&stone2=diamond-Brillant&itm_source=recommendation&itm_medium=sorting&diamond=pinkdiamond
92777,Nhẫn Nam Classic Expression 8 mm,https://www.glamira.vn/nhan-nam-classic-expression-8-mm.html?alloy=white-silber&gclid=EAIaIQobChMI9Kjmscrk6QIVIZ_CCh3MowgzEAQYJyABEgLxL_D_BwE
92869,Nhẫn Nữ Classic Balance 9 mm,https://www.glamira.vn/nhan-nu-classic-balance-9-mm.html?alloy=yellow-585
106110,Nhẫn cưới nữ Great Blow 5 mm,https://www.glamira.vn/nhan-nu-great-blow-5-mm.html?alloy=yellow-585&stone=diamond-Zirconia
109178,Nhẫn cưới nữ Essential Dream 8 mm,https://www.glamira.vn/nhan-nu-essential-dream-8-mm.html?alloy=white-585&gclid=CjwKCAjw2a32BRBXEiwAUcugiHTJwyagfBIzYKk_8QY7fuzEk-JDCeD-WQecBOIN-4YIO8mA2XCwYBoCsiYQAvD_BwE
87727,Nhẫn cưới nữ Sense Energy,https://www.glamira.vn/nhan-nu-sense-energy.html?alloy=yellow-750
110618,Women's Pendant Gita,https://www.glamira.ie/glamira-pendant-gita.html?alloy=yellow-375&diamond=emerald&stone2=diamond-sapphire&itm_source=recommendation&itm_medium=detail
109475,Women's Pendant Evanthia,https://www.glamira.ie/glamira-pendant-evanthia.html?alloy=yellow-585&diamond=emerald&itm_source=recommendation&itm_medium=sorting
110599,Women's Pendant Eula,https://www.glamira.ie/glamira-pendant-eula.html?alloy=yellow-585&diamond=emerald&stone2=diamond-sapphire&itm_source=recommendation&itm_medium=sorting
99940,GLAMIRA Pendant Morena,https://www.glamira.ie/glamira-pendant-morena.html?alloy=red_white-585
102111,"GLAMIRA - Your Online Shop for Gold, Diamond and Wedding Jewellery",https://www.glamira.com.ua/glamira-bracelet-pootsie.html?fbclid=IwAR1YWPtCzyK71c9N-MXjBe_6idklcwegSgJcpmxsmeINCg4DPOQd34MBrM0
100175,Kid's Ring Chans,https://www.glamira.ie/glamira-kids-chans.html?alloy=white-375&keyword=&matchtype=&gclid=Cj0KCQjwn7j2BRDrARIsAHJkxmxpu0yUIwigw0dbYjMMbrlu05k3njsEaOcMRBnARnOkrDtouAJCvPMaAqqYEALw_wcB
98888,Women's Ring Bright Morning 8 mm,https://www.glamira.ie/womens-ring-bright-morning-8-mm.html?keyword&matchtype&fbclid=IwAR0lGBQhElXFTJaNcLzpf3iL7ZT9WdaPNzHoGuyIekFvIOgdg1amD8PN-28&alloy=white_yellow-585
90377,Women's Earring Moselle,https://www.glamira.ie/glamira-earring-moselle.html?itm_source=recommendation&itm_medium=sorting&fbclid=IwAR2TCjAiLNXpdvPi77hXJG6zXQpNwDMWj5hnyjK-93n7ubylOtjCVMm9SeE
